Timestamp,Team Number,Match Number,Break baseline,Fuel scored low boiler,Fuel scored high boiler,Gear placed on spike,Additional comments,Primary Scoring Location,Fuel Accumulated,Gears placed on spike,How is fuel loaded into the robot?,How are gears loaded into the robot?,Climbing,Additional Comments?,Pilot data
3/24/2017 18:27:18,1818,47,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,"Player station, Efficient",Does not climb,,
3/24/2017 19:13:32,1818,53,Yes,0,0,No,,Does not score Fuel,0,1,Does not load fuel,"Player station, Inefficient","Touched sensor, Fast climb (<10s)",Not good at delivering gears,
3/24/2017 19:15:35,1818,53,Yes,0,0,No,,Does not score Fuel,0,1,Does not load fuel,"Player station, Inefficient","Touched sensor, Fast climb (<10s)",Got red carded in this match,Received penalty
3/24/2017 12:54:11,1902,14,Yes,0,0,No,,Does not score Fuel,0,0,Player station,Player station,"Touched sensor, Locked in place, Fast climb (<10s), Trouble capturing rope",Disconnected  from 60 to 30 seconds ,Strong pilot
3/24/2017 14:49:59,1902,22,Yes,0,0,No,,Does not score Fuel,0,2,Does not load fuel,Player station,"Touched sensor, Fast climb (<10s)",Sensor turned on at very last second,Strong pilot
3/24/2017 17:29:07,1902,40,Yes,0,0,No,,Does not score Fuel,0,3,Does not load fuel,"Player station, Efficient","Slow climb (10-20s), Trouble capturing rope, Does not climb",,Dropped gear out of ship
3/24/2017 13:34:35,1912,17,Yes,0,0,No,,Does not score Fuel,11-15,0,Floor,Player station,Does not climb,,
3/24/2017 15:00:54,1912,23,No,0,0,No,,Does not score Fuel,0,0,Does not load fuel,Does not do gears,Does not climb,Did not move,Strong pilot
3/24/2017 15:02:15,1927,23,Yes,0,0,No,,Low Boiler,0,2,Does not load fuel,"Player station, Inefficient","Trouble capturing rope, Does not climb",Slow pilot and not a good design ,
3/24/2017 12:20:54,2078,10,Yes,0,0,No,,Does not score Fuel,0,0,Does not load fuel,Does not do gears,Does not climb,Very confused pilots ,Forgot to deploy rope
3/24/2017 13:23:45,2078,16,Yes,0,0,No,,Does not score Fuel,0,0,Does not load fuel,Does not do gears,"Touched sensor, Locked in place, Slow climb (10-20s), Trouble capturing rope",No one from this team was a pilot. ,
3/24/2017 15:02:05,2078,23,No,0,0,No,,Does not score Fuel,0,0,Does not load fuel,Does not do gears,Does not climb,Does litterally nothing,
